Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
Luz de mi Vida,Marcos Witt,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=dtIHnbIyffo&si=acE5DYty0pZkhPWC,No
"Has aumentado ",Danilo Montero,"Acción de Gracias, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=Arei0roTsDM&si=qdodWMwZbpDH5O2G,Yes
Aquel que la buena obraa empezó,Steve Green,Clamor / Intercesión,Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=41KmGg93i3I&si=ByGhIm6x-OWURNPL,No
"El padre que siempre soñé  ",Abel Zabala,"Acción de Gracias, Clamor / Intercesión, Evangelización / Misión",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=expXvbefIVY&si=p4RzoWEKOe0SG9fH,Yes
"Renuévame ",Marcos Witt,"Clamor / Intercesión, Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=w2hBiVFJfRI&si=7gQlmrpGxN2nTf6L,Yes
"Todo lo que respire ",IBI,Exaltación / Gloria,Celebración Rítmica,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=e28v65rt89w&si=asiLVf9M6A0Ru4OP,Yes
,,,,,,,,No
"La casa de Dios ",Danilo Montero,"Declaración Doctrinal, Evangelización / Misión, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=PgUI_eJqxwo&si=jKHeF4L13ioVKgzM,Yes
Este es mi deseo,Claudio Friedzon,"Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=8uPgS22sWaQ&si=HOPAv9HA_pbE4NnS,Yes
"Te daré lo mejor ",Jesús A. Romero,Declaración Doctrinal,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=vMiPG3vWO-A&si=hcPbjk50T4aNIhl6,Yes
El amor de Cristo,Hillsong,"Consagración / Entrega, Declaración Doctrinal",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=NtWGdvxBpHI&si=lGMeyKTxYtPATsCN,No
"Poderoso Dios ",Marcos Witt,"Clamor / Intercesión, Exaltación / Gloria",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=N1KoaapgBu0&si=FbrnbT24REI9nA0B,No
Lo harás otra vez,Elevation Worship,Clamor / Intercesión,Worship contemporáneo,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=rU8MVy-JsAI&si=LqtExLgw2rniifPU,Yes
"Junto a tus pies ",Danilo Montero,"Clamor / Intercesión, Consagración / Entrega","Balada congregacional, Especial",Dominada,Montada,Básica,https://music.youtube.com/watch?v=tNu-TQQ7NbQ&si=_N8OXicGs56dR5zF,No
